abacus,,,,,,,, trust,,
abandon,,,, fear,, sadness,,, negative,
savagery, anger,,, fear,,,,, negative,
save,,,,, joy,,, trust,, positive
savings,,,,,,,,,, positive
savor,, anticip, disgust,, joy, sadness,, trust,, positive
savory,,,,,,,,,, positive
savvy,,,,,,,,,, positive
scab,,,,,,,,, negative,
scaffold,,,, fear,,,,, negative,
scalpel,,,, fear,,,,, negative,
scaly,,,,,,,,, negative,
scandal,,,, fear,,,,, negative,
scandalous, anger,,,,,,,, negative,
scanty,,,,,,,,, negative,
scapegoat, anger,,, fear,,,,, negative,
scar, anger,, disgust, fear,, sadness,,, negative,
scarce,,,, fear,, sadness,,, negative,
scarcely,,,,,, sadness,,, negative,
scarcity, anger,,, fear,, sadness,,, negative,
scare, anger, anticip,, fear,,, surprise,, negative,
scarecrow,,,, fear,,,,, negative, positive
scavenger,,,,,,,,, negative,
sceptical,,,,,,,, trust,,
scheme,,,,,,,,, negative,
schism, anger,,,,,,,, negative,
schizophrenia, anger,, disgust, fear,, sadness,,, negative,
scholar,,,,,,,,,, positive
scholarship,,,,, joy,,,,, positive
school,,,,,,,, trust,,
sciatica,,,,,,,,, negative,
scientific,,,,,,,, trust,, positive
scientist,, anticip,,,,,, trust,, positive
scintilla,,,,,,,,,, positive
scoff, anger,, disgust,,,,,, negative,
scold, anger,, disgust, fear,, sadness,,, negative,
scolding, anger,,,,,,,, negative,
scorching, anger,,,,,,,, negative,
score,, anticip,,, joy,, surprise,,, positive
scorn, anger,,,,,,,, negative,
scorpion, anger,, disgust, fear,,, surprise,, negative,
scotch,,,,,,,,, negative,
scoundrel, anger,, disgust, fear,,,, trust, negative,
scourge, anger,,, fear,, sadness,,, negative,
scrambling,,,,,,,,, negative,
scrapie, anger,,, fear,, sadness,,, negative,
scream, anger,, disgust, fear,,, surprise,, negative,
screaming, anger,, disgust, fear,,,,, negative,
screech,,,, fear,,, surprise,, negative,
screwed, anger,,,,,,,, negative,
scribe,,,,,,,,,, positive
scrimmage,,,,,,, surprise,, negative,
script,,,,,,,,,, positive
scripture,,,,,,,, trust,,
scrub,,, disgust,,,,,, negative,
scrumptious,,,,,,,,,, positive
scrutinize,, anticip,,,,,,, negative,
scrutiny,,,,,,,,, negative,
sculpture,,,,,,,,,, positive
scum,,, disgust,,,,,, negative,
sea,,,,,,,,,, positive
seal,,,,,,,, trust,, positive
seals,,,,,,,, trust,,
sear,,,,,,,,, negative,
seasoned,,,,,,,,,, positive
secession,,,,,,,,, negative,
secluded,,,,,, sadness,,, negative,
seclusion,,,, fear,,,,, negative, positive
secondhand,,,,,,,,, negative,
secrecy,,,,,,, surprise, trust,,
secret,,,,,,,, trust,,
secretariat,,,,,,,,,, positive
secrete,,, disgust,,,,,,,
secretion,,, disgust,,,,,, negative,
secretive,,,,,,,,, negative,
sectarian, anger,,, fear,,,,, negative,
secular,, anticip,,,,,,,,
securities,,,,,,,, trust,,
sedition, anger,,,,, sadness,,, negative,
seduce,,,,,,,,, negative,
seduction,,,,,,,,, negative,
seductive,, anticip,,,,,,,,
seek,, anticip,,,,,,,,
segregate, anger,, disgust,,, sadness,,, negative,
segregated,,,,,,,,, negative,
seize,,,, fear,,,,, negative,
seizure,,,, fear,,,,,,
selfish, anger,, disgust,,,,,, negative,
selfishness,,,,,,,,, negative,
senate,,,,,,,, trust,,
senile,,,, fear,, sadness,,, negative,
seniority,,,,,,,, trust,, positive
sensational,,,,, joy,,,,, positive
sense,,,,,,,,,, positive
senseless, anger,, disgust, fear,, sadness, surprise,, negative,
sensibility,,,,,,,,,, positive
sensibly,,,,,,,,,, positive
sensual,, anticip,,, joy,, surprise, trust, negative, positive
sensuality,, anticip,,, joy,,,,, positive
sensuous,,,,, joy,,,,, positive
sentence, anger, anticip, disgust, fear,, sadness,,, negative,
sentimental,,,,,,,,,, positive
sentimentality,,,,,,,,,, positive
sentinel,,,,,,,, trust,, positive
sentry,,,,,,,, trust,,
separatist, anger,, disgust,,,,,, negative,
sepsis,,,, fear,, sadness,,, negative,
septic,,, disgust,,,,,, negative,
sequel,, anticip,,,,,,,,
sequestration,,,,,, sadness,,, negative,
serene,,,,,,,, trust, negative,
serenity,, anticip,,, joy,,, trust,, positive
serial,, anticip,,,,,,,,
series,,,,,,,, trust,,
seriousness,,,, fear,, sadness,,,,
sermon,,,,,,,, trust,, positive
serpent,,, disgust, fear,,,,, negative,
serum,,,,,,,,,, positive
servant,,,,,,,, trust, negative,
serve,,,,,,,, trust, negative,
servile,,, disgust, fear,, sadness,,, negative,
servitude,,,,,,,,, negative,
setback,,,,,, sadness,,, negative,
settlor,,,, fear,,,,,, positive
sever,,,,,,,,, negative,
severance,,,,,, sadness,,,,
severity,,,,,,,,,,
sewage,,, disgust,,,,,, negative,
sewer,,, disgust,,,,,,,
sewerage,,, disgust,,,,,, negative,
sex,, anticip,,, joy,,, trust,, positive
shabby,,, disgust,,,,,, negative,
shack,,, disgust,,, sadness,,, negative,
shackle, anger, anticip, disgust, fear,, sadness,,, negative,
shady,,,, fear,,,,, negative,
shaking,,,, fear,,,,, negative,
shaky, anger, anticip,, fear,,,,, negative,
sham, anger,, disgust,,,,,, negative,
shambles,,,,,,,,, negative,
shame,,, disgust, fear,, sadness,,, negative,
shameful,,,,,, sadness,,, negative,
shameless,,, disgust,,,,,, negative,
shanghai,,, disgust, fear,,,,, negative,
shank,,,, fear,,,,,,
shape,,,,,,,,,, positive
shapely,,,,,,,,,, positive
share,, anticip,,, joy,,, trust,, positive
shark,,,,,,,,, negative,
sharpen, anger, anticip,,,,,,,,
shatter, anger,,, fear,, sadness, surprise,, negative,
shattered,,,,,, sadness,,, negative,
shed,,,,,,,,, negative,
shell, anger,,, fear,, sadness, surprise,, negative,
shelter,,,,,,,, trust,, positive
shelved,,,,,,,,, negative,
shepherd,,,,,,,, trust,, positive
sheriff,,,,,,,, trust,,
shine,,,,,,,,,, positive
shining,, anticip,,, joy,,,,, positive
ship,, anticip,,,,,,,,
shipwreck,,,, fear,, sadness,,, negative,
shit, anger,, disgust,,,,,, negative,
shiver, anger, anticip,, fear,, sadness,,, negative,
shock, anger,,, fear,,, surprise,, negative,
shockingly,,,,,,, surprise,,,
shoddy, anger,, disgust,,,,,, negative,
shoot, anger,,, fear,,,,, negative,
shooter,,,, fear,,,,,,
shooting, anger,,, fear,,,,, negative,
shopkeeper,,,,,,,, trust,,
shoplifting, anger,, disgust,,,,,, negative,
shopping,, anticip,,, joy,, surprise, trust,, positive
shortage, anger,,, fear,, sadness,,, negative,
shortcoming,,,,,,,,, negative,
shortly,, anticip,,,,,,,,
shot, anger,,, fear,, sadness, surprise,, negative,
shoulder,,,,,,,, trust,, positive
shout, anger,,,,,, surprise,,,
shove, anger,,,,,,,, negative,
show,,,,,,,, trust,,
showy,,,,,,,,, negative,
shrapnel,,,, fear,,,,,,
shrewd,,,,,,,,,, positive
shriek, anger,,, fear,, sadness, surprise,, negative,
shrill, anger,,, fear,,, surprise,, negative,
shrink,,,, fear,, sadness,,, negative,
shroud,,,,,, sadness,,,,
shrunk,,,,,,,,, negative,
shudder,,,, fear,,,,, negative,
shun, anger,, disgust,,, sadness,,, negative,
sib,,,,,,,, trust,,
sick,,, disgust,,, sadness,,, negative,
sickening, anger,, disgust, fear,, sadness,,, negative,
sickly,,, disgust,,, sadness,,, negative,
sickness,,, disgust, fear,, sadness,,, negative,
signature,,,,,,,, trust,,
signify,, anticip,,,,,,,,
silk,,,,,,,,,, positive
silly,,,,, joy,,,, negative,
simmer, anger, anticip,,,,,,,,
simmering,, anticip,,,,,,,,
simplify,, anticip,,, joy,, surprise, trust,, positive
sin, anger,, disgust, fear,, sadness,,, negative,
sincere,,,,,,,, trust,, positive
sincerity,,,,,,,,,, positive
sinful, anger,, disgust, fear,, sadness,,, negative,
sing,, anticip,,, joy, sadness,, trust,, positive
singly,,,,,,,,,, positive
singularly,,,,,,, surprise,,,
sinister, anger,, disgust, fear,,,,, negative,
sinner, anger,, disgust, fear,, sadness,,, negative,
sinning,,, disgust,,,,,, negative,
sir,,,,,,,, trust,, positive
siren,,,, fear,,,,, negative,
sissy,,,,,,,,, negative,
sisterhood, anger,,,,, sadness, surprise, trust,, positive
sizzle, anger,,,,,,,,,
skeptical,,,,,,,,, negative,
sketchy,,,,,,,,, negative,
skewed, anger, anticip,,,,,,, negative,
skid, anger,,, fear,, sadness,,, negative,
skilled,,,,,,,,,, positive
skillful,,,,,,,, trust,, positive
skip,,,,,,,,, negative,
skirmish, anger,,,,,,,, negative,
sky,,,,,,,,,, positive
slack,,,,,,,,, negative,
slag,,,,,,,,, negative,
slam, anger,,, fear,,, surprise,, negative,
slander, anger,, disgust,,,,,, negative,
slanderous,,,,,,,,, negative,
slap, anger,,,,,, surprise,, negative,
slash, anger,,,,,,,,,
slate,,,,,,,,,, positive
slaughter, anger,, disgust, fear,, sadness, surprise,, negative,
slaughterhouse, anger,, disgust, fear,, sadness,,, negative,
slaughtering, anger,, disgust, fear,, sadness, surprise,, negative,
slave, anger,,, fear,, sadness,,, negative,
slavery, anger,, disgust, fear,, sadness,,, negative,
slay, anger,,,,,,,, negative,
slayer, anger,, disgust, fear,, sadness, surprise,, negative,
sleek,,,,,,,,,, positive
sleet,,,,,,,,, negative,
slender,,,,,,,,,, positive
slim,,,,,,,,,, positive
slime,,, disgust,,,,,,,
slimy,,, disgust,,,,,, negative,
slink,,,,,,,,, negative,
slip,,,,,,, surprise,, negative,
slop,,, disgust,,,,,, negative,
sloppy,,, disgust,,,,,, negative,
sloth,,, disgust,,,,,, negative,
slouch,,,,,,,,, negative,
slough,,,,,,,,, negative,
slowness,,,,,,,,, negative,
sludge,,, disgust,,,,,, negative,
slug,,, disgust,,,,,, negative,
sluggish,,,,,, sadness,,, negative,
slum,,, disgust,,,,,, negative,
slump,,,,,, sadness,,, negative,
slur, anger,, disgust,,, sadness,,, negative,
slush,,, disgust,,,, surprise,, negative,
slut, anger,, disgust,,,,,, negative,
sly, anger,, disgust, fear,,,,, negative,
smack, anger,,,,,,,, negative,
small,,,,,,,,, negative,
smash, anger,,, fear,,,,, negative,
smashed,,,,,,,,, negative,
smattering,,,,,,,,, negative,
smell, anger,, disgust,,,,,, negative,
smelling,,, disgust,,,,,, negative,
smile,,,,, joy,, surprise, trust,, positive
smiling,,,,, joy,,,,, positive
smirk,,,,,,,,, negative,
smite, anger,,, fear,, sadness,,, negative,
smith,,,,,,,, trust,,
smitten,,,,,,,,,, positive
smoker,,,,,,,,, negative,
smoothness,,,,,,,,,, positive
smother, anger,,,,,,,, negative,
smudge,,,,,,,,, negative,
smug,,,,,,,,, negative,
smuggle,,,, fear,,,,, negative,
smuggler, anger,, disgust, fear,,,,, negative,
smuggling,,,,,,,,, negative,
smut,,, disgust, fear,,,,, negative,
snag,,,,,,, surprise,, negative,
snags,,,,,,,,, negative,
snake,,, disgust, fear,,,,, negative,
snare,,,, fear,,,,, negative,
snarl, anger,, disgust,,,,,, negative,
snarling, anger,,,,,,,, negative,
sneak, anger,,, fear,,, surprise,, negative,
sneaking,, anticip,, fear,,,, trust, negative,
sneer, anger,, disgust,,,,,, negative,
sneeze,,, disgust,,,, surprise,, negative,
snicker,,,,,,,,,, positive
snide,,,,,,,,, negative,
snob,,,,,,,,, negative,
snort,,,,,, sadness,,,,
soak,,,,,,,,, negative,
sob,,,,,, sadness,,, negative,
sobriety,,,,,,,, trust,, positive
sociable,,,,,,,,,, positive
socialism,,, disgust, fear,,,,,,
socialist, anger,, disgust, fear,, sadness,,, negative,
soil,,, disgust,,,,,, negative,
soiled,,, disgust,,,,,, negative,
solace,,,,,,,,,, positive
soldier, anger,,,,, sadness,,,, positive
solid,,,,,,,,,, positive
solidarity,,,,,,,, trust,,
solidity,,,,,,,, trust,, positive
solution,,,,,,,,,, positive
solvency,,,,,,,,,, positive
somatic,,,,,,, surprise,, negative,
somber,,,,,, sadness,,, negative,
sonar,, anticip,,,,,,,, positive
sonata,,,,,,,,,, positive
sonnet,,,,, joy, sadness,,,, positive
sonorous,,,,, joy,,,,, positive
soot,,, disgust,,,,,, negative,
soothe,,,,,,,,,, positive
soothing,,,,, joy,,, trust,, positive
sorcery,, anticip,, fear,,, surprise,, negative,
sordid, anger,, disgust, fear,, sadness,,, negative,
sore, anger,,,,, sadness,,, negative,
sorely,,,,,, sadness,,, negative,
soreness,,, disgust,,, sadness,,, negative,
sorrow,,,, fear,, sadness,,, negative,
sorrowful,,,,,, sadness,,, negative,
sorter,,,,,,,,,, positive
sortie,,,, fear,,,,, negative,
soulless,,, disgust, fear,, sadness,,, negative,
soulmate,,,, fear,,,,, negative,
soundness,, anticip,,, joy,,, trust,, positive
soup,,,,,,,,,, positive
sour,,, disgust,,,,,, negative,
sovereign,,,,,,,, trust,,
spa,, anticip,,, joy,, surprise, trust,, positive
spacious,,,,,,,,,, positive
spaniel,,,,, joy,,, trust,, positive
spank, anger,,, fear,, sadness,,, negative,
spanking, anger,,,,,,,,,
sparkle,, anticip,,, joy,, surprise,,, positive
spasm,,,, fear,,,,, negative,
spat, anger,,,,,,,, negative,
spear, anger, anticip,, fear,,,,, negative,
special,,,,, joy,,,,, positive
specialist,,,,,,,, trust,,
specialize,,,,,,,, trust,,
specie,,,,,,,,,, positive
speck,,, disgust,,,,,, negative,
spectacle,,,,,,,,, negative, positive
spectacular,, anticip,,,,, surprise,,,
specter,,,, fear,, sadness,,, negative,
spectral,,,,,,,,, negative,
speculation,,,, fear,, sadness,,, negative,
speculative,, anticip,,,,,,,,
speech,,,,,,,,,, positive
speedy,,,,,,,,,, positive
spelling,,,,,,,,,, positive
spent,,,,,,,,, negative,
spew,,, disgust,,,,,,,
spice,,,,,,,,,, positive
spider,,, disgust, fear,,,,,,
spike,,,, fear,,,,,,
spine, anger,,,,,,,, negative, positive
spinster,,,, fear,, sadness,,, negative,
spirit,,,,,,,,,, positive
spirits,, anticip,,, joy,, surprise,,, positive
spit,,, disgust,,,,,,,
spite, anger,,,,,,,, negative,
spiteful, anger,,,,,,,, negative,
splash,,,,,,, surprise,,,
splendid,,,,, joy,, surprise,,, positive
splendor,, anticip,,, joy,, surprise,,, positive
splinter,,,,,,,,, negative,
split,,,,,,,,, negative,
splitting,,,,,, sadness,,, negative,
spoil,,, disgust,,,,,, negative,
spoiler,,,,,, sadness,,, negative,
spoke,,,,,,,,, negative,
spokesman,,,,,,,, trust,,
sponge,,,,,,,,, negative,
sponsor,,,,,,,, trust,, positive
spook,,,, fear,,,,, negative,
spotless,,,,,,,, trust,, positive
spouse,,,,, joy,,, trust,, positive
sprain,,,,,, sadness,,, negative,
spree,,,,,,,,, negative,
sprite,,,, fear,,,,, negative,
spruce,,,,,,,,,, positive
spur,,,, fear,,,,,,
spurious,,, disgust,,,,,, negative,
squall,,,, fear,, sadness,,, negative,
squatter,,,,,,,,, negative,
squeamish,,, disgust, fear,,,,, negative,
squelch, anger,, disgust,,,,,, negative,
squirm,,, disgust,,,,,, negative,
stab, anger,,, fear,, sadness, surprise,, negative,
stable,,,,,,,, trust,, positive
staccato,,,,,,,,,, positive
stagger,,,,,,, surprise,,,
staggering,,,,,,,,, negative,
stagnant,,,,,, sadness,,, negative,
stain,,, disgust,,,,,, negative,
stainless,,,,,,,,,, positive
stale,,,,,,,,, negative,
stalemate, anger,, disgust,,,,,,,
stalk,,,, fear,,,,, negative,
stall,,, disgust,,,,,,,
stallion,,,,,,,,,, positive
stalwart,,,,,,,,,, positive
stamina,,,,,,,, trust,, positive
standing,,,,,,,,,, positive
standoff, anger,,, fear,,,,, negative,
standstill, anger,,,,,,,, negative,
star,, anticip,,, joy,,, trust,, positive
staring,,,,,,,,, negative,
stark,,,,,,,, trust, negative,
starlight,,,,,,,,,, positive
starry,, anticip,,, joy,,,,, positive
start,, anticip,,,,,,,,
startle,,,, fear,,, surprise,, negative,
startling,,,,,,, surprise,,,
starvation,,,, fear,, sadness,,, negative,
starved,,,,,,,,, negative,
starving,,,,,,,,, negative,
stately,,,,,,,,,, positive
statement,,,,,,,, trust,, positive
stationary,,,,,,,,, negative,
statistical,,,,,,,, trust,,
statue,,,,,,,,,, positive
status,,,,,,,,,, positive
staunch,,,,,,,,,, positive
stave,,,,,,,,, negative,
steadfast,,,,,,,, trust,, positive
steady,,,,,,, surprise, trust,,
steal, anger,,, fear,, sadness,,, negative,
stealing,,, disgust, fear,,,,, negative,
stealth,,,,,,, surprise,,,
stealthily,,,,,,, surprise,,,
stealthy,, anticip,, fear,,, surprise,, negative,
stellar,,,,,,,,,, positive
stereotype,,,,,,,,, negative,
stereotyped,,,,,,,,, negative,
sterile,,,,,, sadness,,, negative,
sterility,,,,,,,,, negative,
sterling, anger, anticip,,, joy,,, trust, negative, positive
stern,,,,,,,,, negative,
steward,,,,,,,, trust,, positive
sticky,,, disgust,,,,,,,
stiff,,,,,,,,, negative,
stiffness,,,,,,,,, negative,
stifle,,,,,,,,, negative,
stifled, anger,,, fear,, sadness,,, negative,
stigma, anger,, disgust, fear,, sadness,,, negative,
stillborn,,,,,, sadness,,, negative,
stillness,,,, fear,, sadness,,,, positive
sting, anger,,, fear,,,,, negative,
stinging,,,,,,,,, negative,
stingy, anger,, disgust, fear,, sadness,,, negative,
stink,,, disgust,,,,,, negative,
stinking,,, disgust,,,,,, negative,
stint,,,, fear,, sadness,,, negative,
stocks,,,,,,,,, negative,
stolen, anger,,,,,,,, negative,
stomach,,, disgust,,,,,,,
stone, anger,,,,,,,, negative,
stoned,,,,,,,,, negative,
stools,,, disgust,,,,,, negative,
stoppage,,,,,,,,, negative,
store,, anticip,,,,,,,, positive
storm, anger,,,,,,,, negative,
storming, anger,,,,,,,,,
stormy,,,, fear,,,,, negative,
straightforward,,,,,,,, trust,, positive
strained, anger,,,,,,,, negative,
straits,,,, fear,,,,, negative,
stranded,,,,,,,,, negative,
stranger,,,, fear,,,,, negative,
strangle, anger,, disgust, fear,, sadness, surprise,, negative,
strategic,,,,,,,,,, positive
strategist,, anticip,,,,,, trust,, positive
stray,,,,,,,,, negative,
strength,,,,,,,, trust,, positive
strengthen,,,,,,,,,, positive
strengthening,,,,, joy,,, trust,, positive
stress,,,,,,,,, negative,
stretcher,,,, fear,, sadness,,,,
stricken,,,,,, sadness,,,,
strife, anger,,,,,,,, negative,
strike, anger,,,,,,,, negative,
striking,,,,,,,,,, positive
strikingly,,,,,,,,,, positive
strip,,,,,, sadness,,, negative,
stripe,,,,,,,,, negative,
stripped, anger, anticip, disgust, fear,, sadness,,, negative,
strive,, anticip,,,,,,,,
stroke,,,, fear,, sadness,,, negative,
strongly,,,,,,,,,, positive
structural,,,,,,,, trust,,
structure,,,,,,,, trust,, positive
struggle, anger,,, fear,, sadness,,, negative,
strut,,,,,,,,, negative,
stud,,,,,,,,,, positive
study,,,,,,,,,, positive
stuffy,,,,,,,,, negative,
stumble,,,,,,,,, negative,
stunned,,,, fear,,, surprise,, negative,
stunted,,,,,,,,, negative,
stupid,,,,,,,,, negative,
stupidity,,,,,,,,, negative,
stupor,,,,,,,,, negative,
sturdy,,,,,,,,,, positive
sty,,, disgust,,,,,, negative,
subdue,,,,,,,,, negative,
subito,,,,,,, surprise,,,
subject,,,,,,,,, negative,
subjected,,,,,, sadness,,, negative,
subjection,,,,,,,,, negative,
subjugation, anger,, disgust, fear,, sadness,,, negative,
sublimation,,,,, joy,,,,, positive
submit,, anticip,,,,,,,,
subordinate,,,, fear,,,,, negative,
subpoena,,,,,,,,, negative,
subscribe,, anticip,,,,,,,,
subsidence,,,,,, sadness,,, negative,
subsidy, anger,, disgust,,,,,, negative,
subsist,,,,,,,,, negative,
substance,,,,,,,,,, positive
substantiate,,,,,,,, trust,,
substantive,,,,,,,,,, positive
subtract,,,,,,,,, negative,
subversion, anger,,, fear,,,,, negative,
subversive, anger,,,,,, surprise,, negative,
subvert,,, disgust, fear,, sadness,,, negative,
succeed,, anticip,,, joy,, surprise, trust,, positive
succeeding,, anticip,,, joy,,, trust,, positive
success,, anticip,,, joy,,,,, positive
successful,, anticip,,, joy,,, trust,, positive
succinct,,,,,,,,,, positive
succulent,,,,,,,,, negative, positive
succumb,,,,,,,,, negative,
suck,,,,,,,,, negative,
sucker, anger,,,,,,,, negative,
sudden,,,,,,, surprise,,,
suddenly,,,,,,, surprise,,,
sue, anger,,,,, sadness,,, negative,
suffer,,,,,,,,, negative,
sufferer,,,, fear,, sadness,,, negative,
suffering,,, disgust, fear,, sadness,,, negative,
sufficiency,,,,,,,,,, positive
suffocating,,, disgust, fear,, sadness,,, negative,
suffocation, anger,,, fear,,,,, negative,
sugar,,,,,,,,,, positive
suggest,,,,,,,, trust,,
suicidal, anger,, disgust, fear,, sadness,,, negative,
suicide, anger,,, fear,, sadness,,, negative,
suitable,,,,,,,,,, positive
sullen, anger,,,,, sadness,,, negative,
sultan,,,, fear,,,,,,
sultry,,,,,,,,,, positive
summons,,,,,,,,, negative,
sump,,, disgust,,,,,,,
sun,, anticip,,, joy,, surprise, trust,, positive
sundial,, anticip,,,,,, trust,,
sunk,,, disgust, fear,, sadness,,, negative,
sunny,, anticip,,, joy,, surprise,,, positive
sunset,, anticip,,,,,,,, positive
sunshine,,,,, joy,,,,, positive
superb,,,,,,,,,, positive
superficial,,,,,,,,, negative,
superfluous,,,,,,,,, negative,
superhuman,,,,,,,,,, positive
superior,,,,,,,,,, positive
superiority,,,,,,,,,, positive
superman,,,,, joy,,, trust,, positive
superstar,,,,, joy,,, trust,, positive
superstition,,,, fear,,,,, negative, positive
superstitious,, anticip,, fear,,,,, negative,
supplication,,,,,,,, trust,, positive
supplies,,,,,,,,,, positive
supply,,,,,,,,,, positive
supported,,,,,,,,,, positive
supporter,,,,, joy,,, trust,, positive
supporting,,,,,,,, trust,, positive
suppress, anger,,, fear,, sadness,,, negative,
suppression, anger,, disgust, fear,,,,, negative,
supremacy, anger, anticip,, fear, joy,, surprise, trust, negative, positive
supreme,,,,,,,,,, positive
supremely,,,,,,,,,, positive
surcharge, anger,,,,,,,, negative,
surety,,,,,,,, trust,, positive
surge,,,,,,, surprise,,,
surgery,,,, fear,, sadness,,,,
surly, anger,, disgust,,,,,, negative,
surmise,,,,,,,,,, positive
surpassing,,,,,,,,,, positive
surprise,,,, fear, joy,, surprise,,, positive
surprised,,,,,,, surprise,,,
surprising,,,,,,, surprise,,,
surprisingly,, anticip,,,,, surprise,,,
surrender,,,, fear,, sadness,,, negative,
surrendering,,,,,, sadness,,, negative,
surrogate,,,,,,,, trust,,
surround,, anticip,,,,,,, negative, positive
surveillance,,,, fear,,,,,,
surveying,,,,,,,,,, positive
survive,,,,,,,,,, positive
susceptible,,,,,,,,, negative,
suspect,,,, fear,,,,, negative,
suspense,, anticip,, fear,,, surprise,,,
suspension,,,, fear,,,,, negative,
suspicion,,,, fear,,,,, negative,
suspicious, anger, anticip,,,,,,, negative,
swab,,,,,,,,, negative,
swamp,,, disgust, fear,,,,, negative,
swampy,,, disgust, fear,,,,, negative,
swarm,,, disgust,,,,,,,
swastika, anger,,, fear,,,,, negative,
swear,,,,,,,, trust,, positive
sweat,,,, fear,,,,,,
sweet,, anticip,,, joy,, surprise, trust,, positive
sweetheart,, anticip,,, joy, sadness,, trust,, positive
sweetie,,,,,,,,,, positive
sweetness,,,,,,,,,, positive
sweets,, anticip,,, joy,,,,, positive
swelling,,,, fear,,,,, negative,
swerve,,,, fear,,, surprise,,,
swift,,,,,,,,,, positive
swig,,, disgust,,,,,, negative,
swim,, anticip,, fear, joy,,,,, positive
swine,,, disgust,,,,,, negative,
swollen,,,,,,,,, negative,
symbolic,,,,,,,,,, positive
symmetrical,,,,,,,,,, positive
symmetry,,,,, joy,,, trust,, positive
sympathetic,,,, fear, joy, sadness,, trust,, positive
sympathize,,,,,, sadness,,,,
sympathy,,,,,, sadness,,,, positive
symphony,, anticip,,, joy,,,,, positive
symptom,,,,,,,,, negative,
synchronize,, anticip,,, joy,, surprise, trust,, positive
syncope,,,, fear,, sadness, surprise,, negative,
synergistic,,,,,,,, trust,, positive
synod,,,,,,,, trust,, positive
synonymous,,,, fear,,,, trust, negative, positive
syringe,,,, fear,,,,,,
system,,,,,,,, trust,,
taboo,,, disgust, fear,,,,, negative,
tabulate,, anticip,,,,,,,,
tackle, anger,,,,,, surprise,,,
tact,,,,,,,,,, positive
tactics,,,, fear,,,, trust,,
taint,,,,,, sadness,,, negative,
tale,,,,,,,,,, positive
talent,,,,,,,,,, positive
talisman,,,,,,,,,, positive
talk,,,,,,,,,, positive
talons, anger,,, fear,,,,, negative,
tandem,,,,,,,, trust,,
tangled,,,,,,,,, negative,
tanned,,,,,,,,,, positive
tantalizing,, anticip,,, joy,, surprise,, negative, positive
tantamount,,,,,,,, trust,,
tardiness,,,,,,,,, negative,
tardy,,,,,,,,, negative,
tariff, anger,, disgust,,,,,, negative,
tarnish,,, disgust,,, sadness,,, negative,
tarry,,,,,,,,, negative,
task,,,,,,,,,, positive
tasteful,,,,,,,,,, positive
tasteless,,, disgust,,,,,, negative,
tasty,,,,,,,,,, positive
taught,,,,,,,, trust,,
taunt, anger,,, fear,, sadness,,, negative,
tawny,,, disgust,,,,,,,
tax,,,,,, sadness,,, negative,
teach,,,,, joy,, surprise, trust,, positive
teacher,,,,,,,, trust,, positive
team,,,,,,,, trust,,
tearful,,, disgust, fear,, sadness,,,,
tease, anger, anticip,,,, sadness,,, negative,
teasing, anger,,, fear,,,,, negative,
technology,,,,,,,,,, positive
tedious,,,,,,,,, negative,
tedium,,,,,,,,, negative,
teeming,,, disgust,,,,,,,
teens,,,,,,,,, negative, positive
temperance,,,,,,,,,, positive
temperate,,,,,,,, trust,,
tempered,,,,,,,,,, positive
tempest, anger, anticip,, fear,, sadness, surprise,, negative,
temptation,,,,,,,,, negative,
tenable,,,,,,,,,, positive
tenacious,,,,,,,,,, positive
tenacity,,,,,,,,,, positive
tenancy,,,,,,,,,, positive
tenant,,,,,,,,,, positive
tender,,,,, joy,,, trust,, positive
tenderness,,,,, joy,,,,, positive
tenement,,,,,,,,, negative,
tension, anger,,,,,,,,,
terminal,,,, fear,, sadness,,, negative,
terminate,,,,,, sadness,,,,
termination,,,,,, sadness,,, negative,
termite,,, disgust,,,,,, negative,
terrible, anger,, disgust, fear,, sadness,,, negative,
terribly,,,,,, sadness,,,,
terrific,,,,,, sadness,,,,
terror,,,, fear,,,,, negative,
terrorism, anger,, disgust, fear,, sadness,,, negative,
terrorist, anger,, disgust, fear,, sadness, surprise,, negative,
terrorize, anger,,, fear,, sadness,,, negative,
testament,, anticip,,,,,, trust,,
testimony,,,,,,,, trust,,
tetanus,,, disgust,,,,,, negative,
tether,,,,,,,,, negative,
thankful,,,,, joy,,,,, positive
thanksgiving,,,,, joy,,,,, positive
theft, anger,, disgust, fear,, sadness,,, negative,
theism,,, disgust,,,,,, negative,
theocratic, anger,,, fear,, sadness,, trust, negative,
theological,,,,,,,, trust,,
theology,, anticip,,,,,,,,
theorem,,,,,,,, trust,,
theoretical,,,,,,,,,, positive
theory,, anticip,,,,,, trust,,
therapeutic,,,,, joy,,, trust,, positive
therapeutics,,,,,,,,,, positive
thermocouple,, anticip,,,,,,,,
thermometer,,,,,,,, trust,,
thief, anger,, disgust, fear,, sadness, surprise,, negative,
thinker,,,,,,,,,, positive
thirst,, anticip,,,, sadness, surprise,,,
thirsty,,,,,,,,, negative,
thirteenth,,,, fear,,,,,,
thorn,,,,,,,,, negative,
thorny,,,, fear,,,,, negative,
thoroughbred,,,,,,,,,, positive
thought,, anticip,,,,,,,,
thoughtful,,,,,,,, trust,, positive
thoughtfulness,,,,,,,,,, positive
thoughtless, anger,, disgust,,,,,, negative,
thrash, anger,, disgust, fear,, sadness,,, negative,
threat, anger,,, fear,,,,, negative,
